"Grandpa draws parallels between the pharisees and the modern day church in this week's episode.

"
"For those who don't know,  has not merely been doxed by the Huffington Post, but doxed in a deceptive, slanderous hit piece (copied in the local paper as well) clearly intended to incite violence against him and his family, in which his wife and child were also wrongly implicated.  

Naturally, he and his wife (who had nothing to do with his projects) were immediately fired from their jobs.

Not only does this family need some support until they can come up with some alternatives, but Grandpa would also like to sue Huffpo for what they have done -- which I think is an excellent idea.   Unlike many who just put their heads down, Grandpa wants to come back swinging and make it expensive for Huffpo to do this sort of thing.   He definitely has a cause of action.

But to do this, he needs money.   

Yes, yes, I know -- maybe, like me, you don't self-identify as a Nazi. Maybe, like me, some of the phrases he uses ... well, you don't like them.  That's fine.  Maybe you even disagree with some of the things he says.  But here's the bottom line:  today it is him.   But if you think they will stop with the ""Nazis"" you are wrong.   Just like Twitter didn't stop with ""Nazis.""

Remember Twitter?  First it was ""Russian bots"" then it was ""Nazis"" then it was ""Conspiracy theorists (a term invented by the CIA, btw)"" then it was a bunch of Patriots and ... and ... and.

Remember how antifa was first initiating violence against ""Nazis,"" then against people going to Trump rallies, and then literally terrorizing Tucker Carlson's family?   Remember mainstream media openly saying that ""The MAGA hat is the new Klan hood?""

This is the same thing.   Even if you are NOT a ""Nazi"" this is YOUR fight, because you ARE next unless you are a leftist.

This is an attempt to paralyze ANY dissent to leftism by making people fearful to speak up, even to tell the truth, about anything that detracts from their narrative.   Because ANYONE's words can be twisted to make it appear they are advocates of violence etc.   Most tellingly, the bad guys dropped the hammer just when Grandpa was doing some serious uncucking on the Christian church.

So here's the deal.   If you want to know the whole, real story you can hear Grandpa Lampshade's interview with  at the link below.  And then?   

Grub up some dollars, even if its just a handful, and throw them in a STANDARD SIZED LETTER ENVELOPE wrapped in paper and send them to:

Legal Fund 
PO Box 6621 
Granbury Texas 76049 

Do NOT send large envelopes or packages because he is now a target of violence so he wisely won't accept them.

"
"Sven Longshanks and Dennis Wise continue their look at the hidden role of the Catholic church in Fascism by concentrating on Leon Degrelle and his Rexist party.

"
"LIVE RADIO with Sven Longshanks &amp; Dennis Wise in Truth Will Out Radio in 15 minutes at Radio Aryan:



"
"Sven Longshanks looks at Jihadi brides expecting to still access European healthcare and benefits, before discussing a report that shows the church is plagued by homosexuality, not paedophilia.

"
"NEW Daily Nationalist with Sven Longshanks &amp; Truth Will Out Radio with Dennis Wise, plus Carolyn Yeager's Heretic's Hour, E Michael Jones &amp; John Derbyshire's Radio Derb on Radio Aryan today:

"
"Andy talks about racist intellectualism, Gretchen discusses trench warfare &amp; Jason joins a panel discussion on White flight:

"
"Sven Longshanks and Dr Matthew Raphael Johnson discuss the banning of Jehova’s Witnesses in Russia and elsewhere and the good reasons for doing so.

"
"LIVE RADIO with Sven Longshanks &amp; Dr Matthew Raphael Johnson on The Daily Nationalist in 15 minutes at Radio Aryan:



"
"NEW Daily Nationalist with Dr Johnson &amp; Radio Free Northwest with Andy Donner, plus E Michael Jones, The Nordic Frontier &amp; Brutus the British on Radio Aryan today:

"
"Fresh from last week’s guitar onslaught this time we focus on the finest electronica and synth wave to be found, finished off with some punk, metalcore and neo-folk of course.

"
"Dr Matthew Raphael Johnson exposes the roots of the Kabbalah in antediluvian occultism and it’s links to the enlightenment and modern day science.

"
"Sven Longshanks looks at the regularity of inter-racial spouse violence after a Black on White murder in Britain and a wonderful new programme in Hungary to encourage more White births.

"
"Sven Longshanks looks at inter-racial domestic violence and a wonderful new programme in Hungary to encourage more White births.

"
"NEW Daily Nationalist with Sven Longshanks, Eternal Reich's Audio Insurgency &amp; Dr Johnson's The Orthodox Nationalist, plus Carolyn Yeager's Heretic's Hour, Morgoth, VDARE &amp; Radio Europa on Radio Aryan today:

"
"We have a new section at Radio Aryan collecting together the traditional and patriotic history of Britain and the British people in audio book form, taken from many history books that are now hard to find:

"
"We have a new section at the site for those who are interested in the British history that we are no longer taught about in schools:

"
"The stolen heritage of German Silesia and the Brun death march.

"
"The fate of the Germans in Danzig and Silesia after the war.

"
"Including a recap of the glorious but now hidden history of German Prussia and Pomerania from the 13th century onwards, up until the deliberately inflicted destruction of it in 1945.

"
"The horrific but true story of the elimination of 15 million Germans after the war, in accordance with the decisions made at Yalta.

"
"Sven Longshanks hosts SS Britannia on his own once again, this week looking at why Europe and Britain in particular embraced Christianity.

The official church teaching has always held that Europeans are descended from Japheth, the brother of Shem, son of Noah. This means we are the same race that the Egyptians, Assyrians, Babylonians, Persians etc started out as and there was a time when we were in contact with those empires and traded tin with them. We also sent tithes from Solomon onwards to the Hebrews to make sacrifices in their temple for us and our kings and this is referred to in the histories of Flavius Josephus.
"
"Sven Longshanks looks at the reason why countries that once had clean water and fantastic sanitation, are now full of people crapping in the streets.

"
"NEW Daily Nationalist with Sven Longshanks, plus Carolyn Yeager's Heretic's Hour, Brutus the British, Mark Collett, John Mark &amp; Jared Taylor's Radio Renaissance on Radio Aryan today:

"
" 

LIVE RADIO with Sven Longshanks &amp; Dr Matthew Raphael Johnson on The Daily Nationalist in 15 minutes at Radio Aryan

"
"NEW Daily Nationalist with Dr Johnson &amp; Radio Free Northwest with Andy Donner, plus Jared Taylor's Radio Renaissance &amp; The Nordic Frontier on Radio Aryan today:

"
"The series is 30 episodes in and still the audio insurgency continues unabated, with eight cracking new tunes for you tonight ranging from soft jazz to speed metal and all at the peak of perfection.

"
"Sven Longshanks draws attention to a 30-year-old Middle Easterner that was sitting in class alongside school children and asks if the yellow vest protests could be the downfall of Macron?

"
"NEW Daily Nationalist with Sven Longshanks, The Orthodox Nationalist with Dr Johnson &amp; Eternal Reich's Audio Insurgency, plus a new episode of Steve Frost &amp; Benny Bullman's Under the Sunwheel &amp; Greg Johnson on Radio Aryan today:

"
"Grandpa talks about normie-cons still failing to stand up for those to the right of them on Gab, when the same has already happened to them on Twitter.

"
"Sven Longshanks continues offering ways to help cope with living in the modern world, where we are forced to interact with our racial competitors and where treason is a way of life for many.

"
"NEW Daily Nationalist and Thoughts of the Day, plus Richard Edmonds, Jordan Pont, Honouring Our History and Interregnum with A. J. Illingworth on Radio Aryan today:

"
"Sven Longshanks is joined by Max Musson for a live episode looking at the difference between the Brexit we were promised and the Brexit we are going to get.

"
" 

LIVE RADIO with Sven Longshanks and Max Musson on Aryan Britannia in 10 minutes on Radio Aryan

"
"Sven Longshanks lays out the goals for self-improvement that will lead to the realisation of ethnically homogenous societies.

"
"NEW Daily Nationalist with Sven Longshanks &amp; LIVE Aryan Britannia with Max Musson, plus Honouring Our History, Greg Johnson, Frodi Midjord and John Morgan on Radio Aryan today:

"
"Nationalist news, Nationalist comedy, Nationalist history, Nationalist philosophy and Nationalist music, streaming all weekend at Radio Aryan with new programs starting on Monday:

"
"Sven Longshanks explains the mirror-image role the Jews have played in our history, teaching the White man to demonstrate his virtue by resisting their temptations.

"
"NEW Daily Nationalist with Sven Longshanks &amp; Truth Will Out Radio with Dennis Wise, plus Honouring Our History, Tony Martin from the National Front &amp; Mark Collett &amp; David Duke's This Week on the Alt-Right on Radio Aryan today:

"
"Andy Donner was interviewed by Race and Nation last year and that podcast is this week’s episode of Radio Free Northwest.

"
"Dr Matthew Raphael Johnson joins Sven Longshanks to explain some of the philosophical terms used in his podcast ‘The Orthodox Nationalist’.

"
"NEW Daily Nationalist with Dr Johnson &amp; Andy Donner's Radio Free Northwest, plus Fróði Midjord, James O’Meara &amp; The Nordic Frontier on Radio Aryan today:

"
"Loads of variety in the synth section this week, from disco to vaporwave to synthpop, fashwave and beyond, even a bit of death metal/hip hop to confound any notions of limitation to Nationalist musical tastes.

"
"Dr Johnson breaks down some of the technical terms that he uses that have different meanings in philosophy and religion.

"
"Sven Longshanks looks at shocking footage of White cops being beaten by Black thugs and suggestions that spending more money on the young street urchins will stop the violence.

"
"A few factual clarifications are in order here:

- I own more than 80% of Epik Holdings Inc.  There is only one class of stock, common stock. 

- I did not consult with either of the Epik Board directors before making the decision to take on Gab as a client.  It was my decision.

- One of the Board Directors, Braden, is not happy with me right now and might resign over this decision.

Now, that being said, here is what I think:

- Having a Jewish person on Epik's board may be somewhat helping with keeping certain forces at bay. And while I can't say for sure, I am quite sure that people here at Gab were NOT the first to notice the composition of Epik's board.

- It is possible that having media-savvy people from the left represented on the Board could be a positive for both Gab and Epik, particularly if Gab is on a track to be heard by the Supreme Court in the next 12-18 months. I did make this case to Braden yesterday.

Last but not least, as explained many times, I am not an admin or shareholder at Gab. I run Epik registrar and provided a lifeline at a critical time. Andrew remains sovereign including having the option to choose another registrar should he ever choose to do so.  I doubt there is another registrar on the planet that would take the heat that I took, nor would have been as effective on the external relations, in any capacity let alone as a volunteer.

Hope that helps.

Thanks
Rob"
"NEW Daily Nationalist with Sven Longshanks, Eternal Reich's Audio Insurgency &amp; The Orthodox Nationalist with Dr Johnson, plus Mark Collett, Jared Taylor &amp; 'Honouring Our History' on Radio Aryan today:

"
She is like totally infatuated with me. We're almost talking stalking level here. What can I say? Even shitlib chicks dig the shade.
"Grandpa looks at free speech and draws parallels between Nationalists &amp; the Apostles, as both were persecuted for testifying to the Truth.

"
"Sven Longshanks continues documenting the alarming rise of trans-genderism in our schools, how just one pupil with the delusion can infect 17 others and doctors are banned from suggesting alternative diagnoses.

"
"NEW Daily Nationalist with Sven Longshanks &amp; Thoughts of the Day, plus Honouring Our History on the Roman Empire, Radio Europa, Michael Walker &amp; Richard Edmonds on Radio Aryan today:

"
"#NATO forces annihilate #Iceland beer inventories - 

#Reykjavik now thirsty - 

Yet awash #USA #military money - 

13:39 to 15:00 of this podcast - 

#DailyNationalist #DN #Norway 

 

"
"Sven Longshanks covers the final verdict of the Birmingham National Action trial and takes a look at the surge in violent crime there and the vigilante groups forming to deal with it.

"
"Sven Longshanks looks at the way we are emotionally manipulated into wasting our resources on foreigners in situations that no White man would ever get away with.

"
"NEW Daily Nationalist &amp; Aryan Britannia with Sven Longshanks, plus Honouring Our History, Radio Europa, Kevin MacDonald &amp; new NF Chairman Tony Martin on Radio Aryan today:

"
"The centenary of the war, May's Brexit deal &amp; the ongoing epidemic of violence across the White world, plus historical revisionism, humorous commentary &amp; the best of the Nationalist music scene, all covered in our podcasts at Radio Aryan:

"
Under attack by SICK people posting beastiality and other deranged and degenerate garbage. Report them when you see them. We have increased our detection systems threshold to catch them faster and mark them NSFW instantly. This is a PSYOP designed to divide and conquer the community. Don’t let it.
"Sven Longshanks and Dennis Wise look at the curious murder/suicide of a White film maker who was trying to make a Hollywood movie exposing conspiracy theories and creeping authoritarianism.

"
"

LIVE RADIO with Sven Longshanks &amp; Dennis Wise in Truth Will Out Radio in 15 minutes on Radio Aryan

"
"Sven Longshanks looks at the content of Theresa May’s treasonous EU deal that has infuriated the whole of Britain and will hopefully see her forced to step down and be replaced.

"
"NEW Daily Nationalist with Sven Longshanks &amp; Truth Will Out Radio with Dennis Wise, plus William Finck on Luther's Final Sermon, E Michael Jones &amp; Mark Collett &amp; Laura Towler's This Week on the Alt-Right on Radio Aryan today:

"
"Andy starts this week’s re-run by continuing Harold’s stance on not commenting on current events like the mid-term elections and then explains why debates are not productive.

"
"Sven Longshanks and Dr Matthew Raphael Johnson look at what the recent NATO war games held in Norway can tell us about the state of our military in the West.

"
"

LIVE RADIO with Sven Longshanks &amp; Dr Matthew Raphael Johnson on The Daily Nationalist in 10 minutes on Radio Aryan

"
Mikko. National Hero.
"NEW Daily Nationalist with Dr Johnson &amp; Radio Free Northwest with Andy Donner, plus Jared Taylor's Renaissance Radio &amp; The Nordic Frontier on Radio Aryan today:

"
"12 November 2018 - 

The Daily Nationalist - 

Killer Instinct - DN 111218 - 

#UK #BritFam #Somalia #migration 

... A horrific instance of cannibalism, involving two juvenile Somalians chewing the face off a White baby at a London child care centre.

 

"
"Prehistoric techno, Aryan synth jazz, crusader metal, marching music &amp; even a bit of Richard Spencer on this week's pro-White soundscape selection:

"
"My sites are under a DDOS attack. I am working on mitigating the damage, but there may be intermittent downtime."
"Dr Matthew Raphael Johnson looks at Otto Bauer (1881-1938) the man who said ‘A nation is a totality of men united through community of fate into a community of character’.

"
"Sven Longshanks looks at the ridiculous case of an elderly woman investigated for hate crimes after beeping at a Black man &amp; the recent slanders against Nationalism being made by Merkel, Macron &amp; Donald Tusk.

"
"Paypal just banned YouTube's freedom of speech competitor 

""We will no longer be able to accept or send payments. Up until today PayPal had been our main source of revenue.""



"
"NEW Daily Nationalist with Sven Longshanks, Eternal Reich's Audio Insurgency &amp; Dr Johnson's The Orthodox Nationalist, plus William Finck's Luther on the Jews &amp; Nick Griffin with Myth of the 20th Century on Radio Aryan today:

"
"Grandpa throws down a challenge to debate him, as ideas that cannot stand scrutiny &amp; debate, are ideas that are clearly false.

"
"Sven Longshanks looks at more instances of what happens when Blacks outnumber Whites in Dublin, Ireland, where 100 negro juveniles went on the rampage mugging White children and threatening to slice open their parents.

"
"NEW Daily Nationalist with Sven Longshanks &amp; Thoughts of the Day, plus Pat Little, William Finck's Luther on the Jews &amp; E Michael Jones Happy Homelands on Radio Aryan today:

"
"The Stormer Report podcast archive is available for download again, featuring Andrew Anglin and Lee Rogers from 2015 and 2016:

"
"The Radio Aryan Roundtable podcasts are all now available again for download, featuring Grandpa, Azzmador, Juhani Keranen &amp; more:

"
"Sven Longshanks and Max Musson discuss the centenary of the first world war and the hypocrisy of the British government in promoting non-White involvement, while banning Rhodesian veterans from attending.

"
"We are aware of issues with the Radio Aryan stream &amp; hope to have it fixed within 24 hours. You can find download links for the content that would be on there in the podcast articles &amp; radio schedule for the day.

"
"#britfam

Sven Longshanks looks at a horrific instance of cannibalism, involving two juvenile Somalians chewing the face off a White baby &amp; biting 15 chunks out of her at a London child care centre:

"
"NEW Daily Nationalist with Sven Longshanks &amp; Aryan Britannia with Max Musson, plus William Finck's Luther on the Jews, Interregnum, Mark Collett, Frodi Midjord &amp; John Morgan on Radio Aryan today:

"
"UK Conference speeches, Orthodox Christianity, the WW2 German White Book, a Northwest Front party update, a daily news roundup &amp; the best in new Nationalist music are just some of the subjects covered in a week of podcasts at Radio Aryan:

"
"The 'Race and Nation' archive is now available again at Radio Aryan:

"
"The Roper Report archive at Radio Aryan is now available again:

"
"Sven Longshanks and Dennis Wise discuss ‘The White Book’ a collection of documents that show who was responsible for starting the second world war, which were suppressed and hidden by the British state.

"
"

LIVE RADIO with Sven Longshanks &amp; Dennis Wise on Truth Will Out Radio in 15 minutes at Radio Aryan:

"
"Sven Longshanks looks at the hidden link between Islamic terrorism in Australia, gang rape and murder in South Africa and the continuing wave of stabbing attacks in Britain. 

"
"NEW Daily Nationalist with Sven Longshanks &amp; Truth Will Out Radio with Dennis Wise, plus Jared Taylor, Pat Little &amp; Mark Collett with Vincent James on Radio Aryan today:

"
"The whole series of Forest Brother's Audio Insurgency is now avilable again for download at Radio Aryan:

"
"Andy starts this week’s podcast with a warning not to make bombs even if they are fake and not to go shooting up synagogues either.

"
"Sven Longshanks is joined by Dr Matthew Raphael Johnson for a discussion on the results of the US mid-term elections and a hate-crime hoaxer who was identified during the middle of it.

"
"

LIVE RADIO with Sven Longshanks &amp; Dr Matthew Raphael Johnson on The Daily Nationalist in 10 minutes on Radio Aryan

"
"LIVE Daily Nationalist with Dr Johnson &amp; NEW Radio Free Northwest with Andy Donner, plus E Michael Jones &amp; The Nordic Frontier on Radio Aryan today:

"
"Fashwave, industrial, neo-folk, melodic metal, all the vintage and modern RAC styles to choose from in the only weekly podcast showcasing the Nationalist music scene, Eternal Reich’s Audio Insurgency:

"
"After a brief summary &amp; mockery of the US midterm elections, Dr Johnson changes gears and goes into an analysis of a doctrine that has been divisive among the Orthodox of the 20th century, especially in Russia: that of the ""Aerial Toll Houses.""

"
"Sven Longshanks looks at negro savagery in Ireland, abominable practices in India and a 30-year-old ‘child refugee’ scaring the real children at a UK school.

"
"NEW Daily Nationalist with Sven Longshanks, Eternal Reich's Audio Insurgency &amp; Dr Johnson's The Orthodox Nationalist, plus Jared Taylor, Mark Collett, Radio Europa &amp; William Finck's Martin Luther on the Jews on Radio Aryan today:

"
        I missed you guys man. Inernets weren't the same without you
"Grandpa talks about censorship &amp; how in reacting to the synagogue shooter by shutting down sites like Gab, normies will see what cheats and hypocrites the Left are.

"
"Sven Longshanks looks at terror statistics that include the Far Left &amp; Black Supremacists, a transgender who regrets mutilating herself &amp; an effigy of Grenfell being thrown on the bonfire.

"
"NEW Daily Nationalist with Sven Longshanks &amp; GPL's Thoughts of the Day, plus E Michael Jones on Heel Turn &amp; William Finck's Luther on the Jews on Radio Aryan today:

"
"Sven Longshanks asks why a dangerous Black-on-White murderer who was deemed unfit to be released from US jail, was freed into Britain and given a British passport so he could search for a new female victims.

"
"NEW Daily Nationalist with Sven Longshanks &amp; Peter Rushton, Steve Frost, Eddy Morrison, Jim Lewthwaite, Mike Whitby, Julie Lake &amp; Keith Axon at the John Tyndall Memorial Meeting, plus E Michael Jones &amp; William Finck on Radio Aryan today:

"
"Sven Longshanks talks about sodomy in the synagogue, the barbarity of ritual circumcision &amp; Moses Maimonides in the final part of the series taken from Hoffman's 'Judaism Discovered'.

"
"Aryan Narrations with 'The Uprising' by Colin Jordan, Dr Johnson on the Reformation, Grandpa Lampshade, Dennis Wise, Andy Donner, Eternal Reich plus William Finck, The Nordic Frontier &amp; Under The Sunwheel:

"
"The entire series of Matthew Heimbach's The Daily Traditionalist is now available again for download:

"
"New Video     

"
"Dennis Wise joins Sven Longshanks to discuss the final episode of ‘Freemasonic Victors’ including topics such as Adam Weishaupt, Aleister Crowley and the principles of Communism.

"
" LIVE RADIO with Sven Longshanks &amp; Dennis Wise in 5 minutes on Radio Aryan
"
"LIVE Truth Will Out Radio with Dennis Wise &amp; Aryan Narrations from Colin Jordan, plus William Finck's Luther on the Jews, Jared Taylor, Mark Collett &amp; Boer Republic on Radio Aryan today:

"
"Sven Longshanks continues the series of Narrations taken from Michael Hoffman's book with a look at Jewish curses against Christians and institutionalised desecration of the cross.

"
"Andy Donner plays us some classic Radio Free Northwest, including details of how voting will work in the Northwest Republic.

"
"More Aryan Narrations from Colin Jordan and Radio Free Northwest, plus The Nordic Frontier on Radio Aryan today:

"
"Top quality musicianship from all around the White world in tonight’s Audio Insurgency, from the sublime orchestral chip metal of Master Boot Record to the monarch of fashwave Stormking, every track is a blinder.

"
"Sven Longshanks reads a series of narrations from Michael Hoffman's 'Judaism Discovered' that show how virulently anti-Christian the religion of Judaism is. 

"
"Dr Matthew Raphael Johnson charts the Jewish involvement in the Protestant Reformation in this week’s episode of The Orthodox Nationalist.

"
"Top line-up tonight at Radio Aryan: Aryan Narrations from Colin Jordan, Eternal Reich's Audio Insurgency, Dr Johnson on the Jewish role in the Protestant Reformation &amp; a new episode of Benny and Steve's Under the Sunwheel, plus some Spencer to finish:

"
"Benjamin Garland’s ‘Hitler’s Nightmare Come True: The Kinderladen Movement’ details some of the worst excesses ever known among Leftists.

"
"Grandpa looks at voting this week &amp; warns against expecting the ballot box to ever change anything. It can definitely be used to wind the Left up though!

"
"#BritFam

Sven Longshanks was the guest for the second hour of Graham Hart’s Cornwall Revolution Radio on Monday night, discussing pre-Saxon British history, the early church and stone age architecture.

"
"Classic Aryan Narrations from Colin Jordan &amp; Grandpa Lampshade's Thoughts of the Day, plus William Finck's Martin Luther on the Jews, Honouring Our History &amp; Jared Taylor on Radio Aryan today:

"
"I will be on with Graham Hart LIVE in 5 minutes here:

"
"I will be on with Graham Hart LIVE in 5 minutes here:

"
"Sven Longshanks reads excerpts from Maurice Pinay's 'Plot Against the Church' and a pamphlet by Theodore Fritsch detailing the connections between Freemasonry and the Jews.

"
"Classic Aryan Narrations &amp; Aryan Britannia with Sven Longshanks, plus William Finck's Luther on the Jews, Survive the Jive on Interregnum, Morgoth &amp; Radio Europa on Radio Aryan today:

"
"Now that reporting restrictions are lifted Sven Longshanks reports on the Moslem sex slavery trial in Huddersfield and the historical relationship between Islam and the abduction and slavery of White women and children.

"
"All the different fascist movements had their basis in the Christian principle of putting the needs of the nation before the greed of the individual.

"
"

Apparently the SPLC was just 'wishful thinking' when it tried to convince us that Matt Heimbach had forever sworn off politics...and thankfully so. Matt is now the Community Outreach Director for the National Socialist Movement, and he's working on getting his own NSM-syndicated podcast (and if you've ever listened to 'Action!,' you'd know that Matt has some 𝙨𝙚𝙧𝙞𝙤𝙪𝙨 podcasting chops).

Since his return, Matt's only given two interviews - and I've included direct links to both of those MP3's in this post.

In the YouTube clip I've attached, he discusses working With separatists and nationalists of other races to achieve common goals, the FBI's very successful WHITE HATE operation, and feds causing infighting &amp; division within nationalist and separatist movements.

Running Time: 2 minutes, 58 seconds.

𝐌𝐏𝟑 - 𝐌𝐚𝐭𝐭 𝐨𝐧 𝐍𝐒𝐌 𝐖𝐞𝐞𝐤𝐞𝐧𝐝: 


𝐌𝐏𝟑 - 𝐌𝐚𝐭𝐭'𝐬 𝐢𝐧𝐭𝐞𝐫𝐯𝐢𝐞𝐰 𝐰𝐢𝐭𝐡  : 

[[ YouTube link =  ]]

𝐋𝐢𝐧𝐤 𝐭𝐨 𝐚𝐥𝐥 𝐞𝐩𝐢𝐬𝐨𝐝𝐞𝐬 𝐟𝐫𝐨𝐦 𝐌𝐚𝐭𝐭 𝐚𝐧𝐝  '𝐀𝐜𝐭𝐢𝐨𝐧!' 𝐩𝐨𝐝𝐜𝐚𝐬𝐭 (hands down one of the best alt right podcasts to ever be produced):


𝐌𝐚𝐭𝐭'𝐬 𝐬𝐭𝐚𝐭𝐞𝐦𝐞𝐧𝐭 𝐨𝐧 𝐣𝐨𝐢𝐧𝐢𝐧𝐠 𝐭𝐡𝐞 𝐍𝐒𝐌: 


                              "
"Quality Nationalist podcasts from Britain and America, playing all day every day on our stream and available to download for free, new content daily and repeated at weekends:

"
"-  looks at a vicious mob of Blacks that gang-raped a #White #girl before murdering her in #SouthAfrica - 

Gang #rape is a common occurrence in #Africa - 

#SuidAfrika 

 

 

"
"Dennis Wise joins Sven Longshanks to continue discussing the planned finale for ‘The Freemasonic Victors of World War Two’ which this week looks at Jacobins, Illuminati and the extent that Freemasons control society.

"
"#BritFam

 LIVE RADIO with Sven Longshanks &amp; Dennis Wise on Truth Will Out Radio in 15 minutes on Radio Aryan:
"
"Sven Longshanks looks at the phenomena of swarming when a mob of negro juveniles go on the rampage in Islington, a drive to get Blacks into history and the destruction of a huge stone cross in Lesbos, Greece.

"
"NEW Daily Nationalist with Sven Longshanks &amp; Truth Will Out Radio with Dennis Wise, plus William Finck's Luther on the Jews, Radio Europa, Patrick Little &amp; Florian Geyer on Radio Aryan today:

"
"Andy Donner plays the first Radio Free Northwest that he ever heard on the anniversary of his moving to the northwest.

"
"Sven Longshanks and Matt Johnson discuss the news that Pope Francis has made a notorious communist priest into a Saint.

"
"LIVE RADIO with Sven Longshanks and Dr Matthew Raphael Johnson on The Daily Nationalist in 10 minutes on Radio Aryan:

"
"NEW Daily Nationalist with Dr Johnson &amp; Radio Free Northwest, plus Honouring Our History &amp; The Nordic Frontier on Radio Aryan today:

"
"It’s double-trouble tonight with extra new tunes from Mr Bond, Anthrazit and Kangz of Blitz, packing the audio insurgency with enough musical dynamite to blast all our enemies into submission.

"
