My profile pic is me stunnin'  Council on American-Islamic Relations
LOL nodding out on Rx pills not paying attention to to muh #NS posting
200 block of So.LA 1930s
If #Sweden was a nutsack a #jew would constantly kick it around
"#Antifa are the useful idiot expendables of #GloboHomo intl #communist jewry.

They are analogous to the first wave of #bolsheviks that got whacked first before the real reds rolled in.

#Anarchists (black)are the destroyers while the #commie reds take over,in theory.black&amp;red."
"I will have to check that out when I get home. Billy Roper is one of THE most absolutely solid individuals in the struggle.We both did work for Pierce's NatAll/NatVan

Billy worked at the Hills WV compound and I did propaganda distro and recruitment for my local unit.

More #AltRight 2.0 folks need to start paying attn to Billy Roper.

#BalkRight

#Balkanization"
"I have nothing to do with Amy guns.esp on gab idiot.

I never robbed anyone.i got caught with a gun in the area.Adjudacation withheld.it was not twice.i violated on the original charge.

I did 56months in the feds for intl arms dealing.

I don't go anywhere near fire arms esp on a msg board. Don't lie to me about me.

All I said is fuck you bc you are sticking your nose in other ppl's business.i don't go near guns.i was not aware ppl were selling guns on gab"
" 

I'm in Tampa.Where in FL are you?"
Thanks weed goddess you always call out the serious badguys.
"This comes to mind when thinking about how an #American in #America can be outraged by a #MAGA hat

#Patriotism is the new negative

#ThoughtCrime

#BadThink"
"Let your fury be known.

Stop worrying about losing your job over your identity of your #WhiteNationalist #AltRight activity online being handed over to your employer.

I literally go out and start shit with #MudPeople

I confront crews of #mestizo construction workers

I confront gays

I confront blacks

I confront Indians and Arabs

More of you need to do this

Our ppl have lost enough

They are always cought off-guard

Nothing violent has ever happened to  us.I don't go out with any fellow 1.0 skinheads with boots.i confront them with just my wife and youngest kid.We just come across like a normal White family.Never do we make any violent threats.Its all legal to make statements I do.

We don't worry about employers finding out and firing us bc my wife and I manage my father's and my rental properties.And don't worry about being #doxed bc we have always used our names and faces.Fuck that pussy #anon shit.

We even blame #Jews #irl here in my city Tampa FL #JewSA



Don't just do 2.0 #AltRight #shitlord shit under #pseudonyms get out IRL and post stickers,flyers,lliterature.

It you're not posting IRL or talking to your neighbors about #RaceRealism and #Jews or #CulturalMarxism daily then you aren't doing enough.if you all made a lifestyle out of this we would solve our people's problems in one month.

#WhiteRevolution

#ProWhite

#WhitePride

#WhitePower

#ItsOKToBeWhite

#ItsOkayToBeWhite"
"#PAGIDA

#PAGIDAUK"
....And a future for White children
"#Fascist

#Fashism

#Fasces"
"jew's obligation, white man's burden"
This is just cool
#FBHM
Go grampa!
Interesting tidbit I came across while #researching
"The Saudis won't move on it,I know that."
Buy #Organic Buy #NonGMO
#Democracy
#HenryFord #AntiSemite #TheProtocols
#WhiteGirlProblems
Always choose #Organic #NonGMO everything
As Red as they come
#DumpIsrael #IsraelMustPerish
"#Wahhabism

#Saudi

#CryptoJew

#Islam"
#ISIS #IsraeliSecretIntelligenceService #MOSSAD #CIA MI6
#2A #GunsofGab #Guns #GunControl
.... MmmI understand the #Odal rune and #Sunwheel portion
I hate stale ass #Hillary or #Obama #memes but damn....
R.I.P Bruce Carroll Pierce #Order #SilentBrotherhood #BruderSchweigen
#Europa #Revolution
#chad #Hitler
#NS #NSDAP booth with ornate stained glass
"Many ppl don't know that the #Abortion industry and #HumanOrganTrade is largely made of by #Jews

The #Euthenasia industry worldwide is monopolized by #Jewish Drs.

The  #Talmud says, ""Even the best of the #gentiles should be killed""

This is #BloodLibel folks.

#JewishRitualMurder 

Which is a major reason Jews had to be expelled or get a #pogrom mob on them.

History of poisoning Wells,too"
"Blacks do way more #SchoolShooting than anyone.

Blacks are more documented to be #SerialKillers but get cought fast bc incompetence

And #MSM suppresses these facts bc #Jewish #Narrative"
"(((Somebody))) is coaching that kid &amp; giving him orders.

Generally, #Jews don't need orders.

A #Jew is gonna #kike

It's that #HiveMind son."
"Tf(s)w you worked to support:

John-Paul Sedita age 33  on gab:racist violent career criminal

Kelly MacInnis age 47  on gab silly  Scot

Kristallnacht Raistlin Sedita age6 #Trad #homeschool #nazi daughter

Kathleen Francis Sedita  age 26 tinderthot #MTV  #ShabbosGoy 

JEWS DID THIS.

 "
"#88

#BigPharma

#TradLife

#FloridaLife

#Degeneracy

#ThanksBoomers

#NazBol

It's wut I do.

        

    "
"D00d.

Wtf

I don't even think we're smoking the same weed if you're posting on that level of Sedition.

I'm trying to #shitpost take pills from #Jew #BigPharma live a peaceful #TradLife

&gt;Smoke me a blunt

&gt;Get lost nodding out on #Suboxone &amp; #420

&gt;Towed home by friendly neighbor by Waverunner

0 time for fucking w/ #MiddleEast"
" Re.Wet Bread

Sorry bro, there's a glitch on the DM.

99% of my #gab activity is DM unless I want it on front Street for all the #Sayanim #jidf #mossad or #hasbarats posing as #SHRIKEforce

Anyway,here's #American #Passover skinhead-on-wet-matzo #trolling"
"Well said fashy 2.0 gentileman Calculon

Always well said,my fellow FL cracker,fellow 1.0 Brad Griffin.

My dudes in LoTS can point at W.A.R. skins like John-Paul Sedita,&amp; say-----&gt;Those guys are the real #racists

 

That's how the game is played.The IRA had their political won't,&amp; their #RWDS terrorist wing."
"You live like a Whore you often die like one.

Theres a Spoiled Rotton swpl/y rich young adult hangout hangover spot in South Tampa called Hyde Park Village.

22 y/o White girls running around drunk at 11am in shorts so fucking short pockets hangout the hemms,&amp; a smartphone+ a hot crackpipe out back pocket

#ThanksBoomers

 "
"Idgaf about #Jewish databases #jidf #Sayanim #RickyVaughn or any of that gay activity. 

If #ZOG sends the State to come down on you,they will.

I'm perfectly comfy posting Skinhead-on-Black Lady slapping under my name &amp;face. Doxxing every.single.TampaFl Rabbi?I did that,too.

I did SRSLY hard #WN fed time."
The #sellout #Elite is talking to YOU Whitey.
"#Jew I don't think so.

You bank gud,you ""Explainers"" talk a high-verbal pimp game but you slimy #Semite goblins suck  Intergenerational 6000000D Chess.

Games been over.Now we just have to give your bodies to the 3rd worlders YOU fucked over. An African gotta eat ya feel me?

I'm #BigPharma posting again."
"MuhGreatestAllyGreaterIsrael

You mean when the Soros gang/Carlyle Group payed Ukrainian Skinheads, NS and Svboda doodz $50USD a head per day to stage a #RevCom #ColorRevolution to fight Ru police?

They wanted their old #Khazaria back.

Shlomo said,""Hey goys,Kiev is ALL yours."""
"My cell in Tampa is SURE alot of the police support us.

One time TPD came by, the #woke #black cop told me,""I'm hearin' what you were tellin' muh partner about The Holocaust.Imma be real.Im awake!""

Sedita:""ok.So YOU KNOW. Tell me more.""

Woke black TPD Sgt:I'm  work,but I'm awake."
"Tfw Sr.Rabbi Richard Birnholz hits me up over this stunt.

We thought #GoldenDawn chased #kvetching #jew Stephanos August outta #Greece btw

Look how hard these #kikes blame #Trump 

Btw,none of us taking the flag to the #Synagogue was ever on the #TrumpTrain

"
"I'm a convicted felon,an adjudicated VCC. I'm telling Seddiq Con that TPD knows Im strapped w/ knives &amp; pistols,watches me spray painting #prowhite #dailystormer agitation #propaganda &amp; won't step out of the car to confront.

Bc muh Officer Safety

Or

THEY SUPPORT US"
That's an African Tree I could cut down for sure.
"W/ #Israel #Russia &amp; The Norks, it's hard for normies to tell who's villaining who."
"LOL Alya, enough #Bigotry outta you. That's one Skinhead-on-mormon post-report to  j/k

I warned the rest of you fellow crackers about Donald Trump!"
"Oh sheeeit. Typo shitty.

Looks like I'm #BigPharma posting again, high on enemy #Jewish supply

#ThanksJews"
"The only Viking in that pic is the Skinhead w/ #14WORDS tatted on his finger in #Nordic font.

#BLACKS are apes.If you're a real White man or woman they will always play along 

Even  work, if you're not the supervisor or the grandmother they will do as you say.

We 

#NaturesLaw oppressor.It is in our blood.

 



 

"
"Holy sheeit.Look  that picture. Even the blonde #shitlib Prosecutor is crying,too. Genuine-style while the black guy sheds bogus been-caught crocodile tears.

Muh Black Boy or Plotz."
"Wuz his defense.Wait.Lemme guess:

BITCH LIED ON ME"
"Then DS fuckboy flipz the script,gud looking out for faggot #Hasbarat RickyVaughn aka #TheSweetOne as Weev gives Wanglin (((very spl instructions))) to disavow Paul Nehlen.

#Bolshevik move

Like JewYorkSlimes op-ed titled ""The Case For African-Americans Owning Whites"""
"The ""down-low"" is black slang for gay activity.

All black guys like The Down-low. 

When I was in Federal prison for being an arms dealer, the niggers would be on the door 24/7 talking to the punks.

Enough of this Politically Correct African-American jive.

Let's just call them faggots."
"But why am I not doubting ya?

All those #NeoCon #Masons take a gay oath!"
"Omw back from bs #UN #Agenda21 Dr. Office for pills:

Sedita #Trolling the #black guy so hard,niggga doesn't catch it!

JaQuan Vonn Vikking.Lmao

#Meme upon #memes upon #maymays

#BlackIQ

#BellCurve

 

 

 

"
"Lemme breakitdown how #gitmo works.

&gt;Take muhAmmed to #Guantanamo

&gt;Lock him in cage w/ 2000 other high-profile, influential muzzies w/ nothing but a #Koran

&gt;Torment der SandTard

&gt;SandMonkeys Self-Radicalize

&gt;U.S.A. Oops muhAmmed, my bad! Here's $6,000,000 go home

&gt;Do your worst w/ YOUR $ WHITE MAN

No Cohencidence fam"
"#NoMudsNoSurTreseNoBeanerMonkeyJewSAHeyHey 

If we could meme #Antifa Intl into agreeing a brown invasion is #racist we'd really be clipping along."
"Repost.

Zion's black #SHABBOSGOY Pets, the A&amp;M #African #Methodist Prince Hall #Masons

The Powers That Be.lol.

Be about dis biotch.Beep Shlomo.

 

"
"No bc well-meaning shitlibtard social programs i.e. intl Communism never works in practice.Only in theory.

They been tried that bike-sharing game here in Tampa FL several times &amp; Niggers stole every.single.bike. despite multiple heavily-armored digital security measures on each.bike.lol.niggers"
"The #Trad fiddiez were prosperous bc we weren't subsidizing Shlomo,TyRone,Muhammed,&amp; Angel Luis-Gomez-Vasqez w/ our #fiat tax dollars."
"Duh I know that. Im a Euro-mutt,part Anglo,part celt,part Italian, part Castillian Spaniard.

But those Xtrese guys look so Indio I would not even care them mestizo,much less Castizo,much less White Castillian!

Let's just call them beaners monkey insectoids and genocide them all yesterday."
We wuz incas tho
"Protect yourself from 419er Nigerian-Style Big Brain NiBBaz tryna jack your PERSONAL info for bogus cards they use to buy Diamond &amp;10k yg grillz n sheeit.





 

"
"Even the best of the Prairie-Monkey Casinos should be robbed by Black Manimals

"
"LOL I been meaning to post this for a few days now.

Is this the most signally shitlibtard car or wut?

After photographing this silly fuckshit, a grey-haired catlady a

&amp; Her greasy-haired skin&amp;bones lesbo daughter in a grunge/punk shirt came out the house

 unironically,not-even-trolling yelled,"" CAN I PET YER CAT?"""
"The mind behind DS.

I love DS.I chk it.Every single day.

But (((Somebody))) occasionally posts some really bad shit in exchange for intl computer glitch work.

Keep pretending he's /ourguy/

Every one of y'all know,too."
"Not on his own volition.Believe me, #Trump is very hip to the #JQ

Nobody is a 32,° #Masonic NY mega billionaire who hates #Shithole #invaders and DOESN'T KNOW

We're looking  lotsa Waring factions working closely to ea/other.

Just like good #freemasons vs evil #masons

Shlomo is threatening Trump w/ the antidote,or something like that!"
"(((Andrew Alan Escher Auernheimer))) is kickin' it in Ea.Europe

He wants his old #Khazaria back.

HeilKunt or Sineaderade posted a pic of weev juxtaposed w/ Alan Ginsberg.

If weevs a Whiteboy I'll kiss your ass!

EVERYBODY KNOWS AND KEEPS PLAYING PRETEND"
Gud.Give 'em a Dr.Martin Dental Plan.
"All you motherfuckers that don't understand the #Jews need to follow me.

Read my Criminal, Terrorist,American-Style Skinhead 1.0 #RaHoWa TL and all #HailVictory

#ThanksGoys"
"For reals? Homeless White guy w/ substance abuse problems? Lol

-Where is  to save him?"
"Am hooked on #Jew #BiGPharma

Shlomo victimized me.

Srsly I wake up sick as a dog in withdrawal,&amp; have to take muh Holy Pillz

But the whole #degenerate drugs makes-you-useless is bs. 

My severe addiction has never stopped me from #WN #Activism.

If anything,it makes me FEARLESS.

I'm on some BERSERKR shit fam"
"#Nazi speed lol

I used to buy a Vicks or Benzedrex inhaler,crack it open,soak the cotton in OJ &amp; share it w/ my old lady."
"I love  

#TeamAzzmador"
"Lol Worst night of my life,worse than the #NaturalChildbirth 

I had the cotton from my Benzedrex inhaler soaking in orange juice in the fridge.Kris drank my Benzedrex inhaler.

Kristallnacht.Night of the overdose. I was so scared I didn't call #ZOG aka Tampa Fire Rescue so they wouldn't cart us all away."
"Thx.

Why Kristallnact doesn't go to school.

I try to show Kris every 

#prowhite post &amp; podcast.Can't have that either."
"All the high-power #jews #masons #trotskyjte #neocons are calling for "" #WW3 blood-to-the-bridals let's do this thang""

Meanwhile,they're building YUGE Happening-Now Bunker-Palaces in Antarctica &amp; Patagonia!"
Look that #Trotskyite Neo-Cohen in the eye and tell me he's not a #masonic Sexual #degenerate
"5109 Longfellow Ave W.

Tampa FL

Doxx me outside eternal enemies idgaf"
"It's crazy. I get 90 dys in county for giving a #RomanSalute at an obvious dyke skateboarding around the corner past my car and yelling ""Have fun  Therapy!"" at her.

Meanwhile #Pizzagate is a thing and John Podesta shows MSM his art collection all like,"" lolThis wut I do."""
"They have to come right out and tell us straight up what they're doing.

It's how the #Kabbalist spell works

It's the #kikes &amp; kike-alike #faggot #freemasons

#kabbalists invert everything.its like an ancient running joke.

#ThanksJews"
"Lemme breakitdown for our humble target audience that doesn't realize Sr.Neo-Cohen John McCain translitrerates to John Son of The Devil.

Serial lol I'mma spirit-cooker lol Marina Abramavich transliterates to Marina daughter of Abram slavicized.

#JEW

A#RedDiaperBaby like #Obama &amp; #ThePodestas"
"#Trump isn't that retarded. Theres a merchant brokering a deal/threat/antidote 

To The basic-bitch #Amerikwan the gassing was (((Real in their mind))) bc Shlomo said so.

#LifeInTheKwa"
"Re.Simon

I knew that guy was a skeezy charactar. I'm used to so-called Allies knifing us in the back. Erich Gliebe stole almost $200 from me.I think he had Pierce killed w/ a merchant behind him.

Look,I'm currently being sued by a #Jew too smdh"
 you Kno wut yet doin
"That st00pid, superstitious black kube is called Tefellin. It's not wood tho, it's leather,and contains some faggoty hebraic scrolls inside.it has a piece of electrical tape that runs from 3rdEye chockra to wrist.

Basically just mysterious #JewishPower to wave in the face of the goyim to trick us into thinking they have Spl powers.lol"
"Staged #ChemicalAttack in #Syria: Provoking Irreversible Conflict

Don't miss my latest video. Important. They want to topple #Assad according to #Neocon plans. They are drawing America back into the conflict after Trump wanted to pull out.

"
LOL The Tefellin Don
"Let's be honest.

Did like that song. In wut 1992?"
"Damnit   

Mud ppl chase us down to our own social media platforms.

WHITE GENOCIDE IS REAL"
LOL boomerpost
"Dear Black bidness ownerz,

Get inside this w/ a dog you don't Kno.

You be makin' smart movez."
"HAPPY SLAPPIN'Z

African-Methodist Prince Hall #Masons

The Powers That BE

LOL!"
"Whale.to is a good site.Not everything on there is true tho.Still a good site.

Heretical press is a good one."
"Yes YOU KNOW.

Us #Pagans &amp; #Creators recruit, but we are not #Evangelicals w/ a turn or die ideology.

Time &amp; time again, we #RomanSalute to show we come in peace, unarmed,&amp;end up getting whacked.

We're vastly outnumbered.The time is right now to solve this out peacefully.

     "
"         

Heilsa kithsman!I have great concern on a daily basis for my #Pagan &amp; #Creativity #kin &amp; #kith at the hands of #Christians when #SHTF

We will be dealing w/ mud ppl,but also Christians,who see the sword another way."
"WHITE ON BLACK

 LONE #AUTISTE #BOOMER CATCHES LIFE OVER TEEN HONOR STUDENT'S LLOUD ""MUSIC"" 

"
"Random Black Lady Starved Niglets bc She Strugglinn'

"
"Excuse me ma'm,what's your point?"
"#REDPILLING NORMIE ON CRAIGSLIST

Potential Customer:I'm curious if you still have the Briggs&amp; Stratton motor

Me: Mexican just stole it on camera"
" 

#TomMetzger sorry"
"My idiological Godfather used to always say,""Don't take away our #FreeSpeech bc #zog wouldn't like us underground."
"Pardon me ma'am, wuz yer point?

wuz your point?"
Wait a min we can't be Burglarist.
The approx 350 O.G. #jews must have been the Sabbatean-Frankists.
"Psychosis and Depression: Yet Another Downside of Marrying Your Cousin

""Ashkenazim today are associated with no less than 19 genetic and mental disorders.""

"
"Jews never surprise me.

I knew the slave traders we're nearly all #Jews

A small fraction we're Barbary Pirates mostly in S.America&amp;Carribean

I didn't know the # was so staggering of #kikes in the #South

They were holding #Black #White #Amerindian &amp; other slaves.

Sugarplantations.

Sugar was #dope

I don't eat sugar but I'm hooked on #BigPharma

#ThanksJews"
"Found another. Actually, this says 78 percent of slave owners were Jewish.."
"After State came down on that gentleman, Howell ""Jus' trynout muh strap"" Donaldson IIl plead Not Guilty,his parents ain't talkin' to no fuzz &amp; no medya.

BLACKS DON'T TRUST THE MEDYA"
"Snapped photo of memorial to young White lady murdered by Howell""Jus'trynout muh strap""Donaldson,member of the Black community.

"
"Mendy's daddy Yossie.



#BLOODLIBEL Ohhhhh G-----D!!!!

He's out on front Street w/ this shit giving 0 fux."
"I googled JEW CAUGHT WITH BLOOD

Look what popped up.

This is off the chain.

#Chabad #Lubavitch is totally comfy posting this #Sorcery #BlackMagic #Murder crap on their official Intl website.

Look, same sect of #Kikes suing me right now.

"
"#ClownWorld

With all the fucked up propaganda #Shlomo shoved down our throats, i don't think #Normies buy it.

If #Trans ideology isn't offensive I'll kiss yer ass!

Ban that.

Nothing new, the #Jewd had #transgender culture in #Weimar Rep.

YOU CAN BE ANYTHING YOU WANT GOY

#Kabbalists invert everything!"
"Remember, he's not  anymore fam.

His name is #TheSweetOne

You have to catcall-whistle when spoken verbally as you say it.

 gotta make a fresh,new,bangin', cartoon called ""Coming Home To Daddy"" staring #TheSweetOne as himself."
#PoisonFood
Thank you new friends for helping me break 800 followers.
Rome v Africa 
"Disrupted is a polite-to-Shlomo P.C. way to put it.

I don't dishonor my ancestors throwing Euphemisms to the #kikes and kike-alike #DeusVult crew.

Let's just say they decieved,tricked,kidnapped and slaughtered our Druids,Dreamers&amp; Seers."
"Bob in D.C.

I was #gaslighting you bc I remember you appearing on old 1.0 radio click-clacking like that, you're a good researcher. 

You virtual-punched me. I punched back harder."
"Yeah I remember he turned traitor.

Was a fanatical #Odinist"
Thanks North pal.Hows WWS doing?
"Nobody can #troll on or offline like #JohnPaulSedita + Tampa's W.A.R. #propagandist cell.

I do it BIG. YUGE.

Hey Skinheads a Hey Tyrone, whatcha doin?

Tyrone:Excuse me,sir,you got 75¢?

J.P. Sedita:Check out DailyStormer.name

Tyrone:Oh word"
Correct me if I'm wrong your wife &amp; kids are some kind of #gook or #chinkitychinkchinkmuhchink
"You should #troll Sol Augustus Include-us

Wez all be #equalz"
#Troll them in #meatspace #snailmail out in #ClownWorld
"#Austria transliterates to #Oster-Reich or Reich of #Ostara Reich of Ishtar, the very ancient #IndoEuropean #fertility #goddess

That's where #Easter comes from."
Making educated moves on #Judaism
"The #Semites have really done a # on us stupid #Europeans.lol.

Exploiting both our fruitful #Creativity &amp; #HighTrust societies.

#SpeakingFreely on the #HiveMind they understood #GeneticEngineering w/ #Matrelinial heritage+ #inbreeding Concentrates #DNA #RNA so #outgroup #marriage makes #superjew"
"They call it twisting and healing the goyish world to serve the #Jew ✓

#TikkunOlam"
"#Islam &amp; #Christinsanity are controlled-op.

If there's one thing I'm correct about #Judaism is #Jews plan millennia in advance. #TikkunOlam is an ancient, codified text which lays the groundwork for enslaving &amp; destroying the #Nations on #Midgard 

They have a hive mind.I think they have #Telepathy.lol

More organized than #gays"
You're a piece of shit.
"

TOTAL INSANITY

If you don't read the entire  LOL WTF article there's no hope for you.

#Chabad #Lubavitch is totally comfy publishing this #Satanic #Sorcery crap online, on their official intl website."
"#WeatherWarefare

They've been controlling the #Weather for decades.

Puerto Rico wanted Independence so they did #HurricaneIrma

Notice it didn't touch #miami #florida

#Chabad #Lubavitch is down there

How convenient!"
"Such dumb, #CrashDummy #communists they're raising the wrong fist. It's supposed to be left.As in #leftwing or the evil #LeftHandPath in the #esoteric #occult of #judaism Freemasonry

These are like #Anti-Fa or the first wave of #commies in #1917 called the #misheviks who were first to get whacked when the real #reds rolled in, the #bolsheviks"
" has to create a new cartoon called ""Coming Home To Daddy"" staring  as himself"
"EFFECTIVE IMMEDIATELY every PERSON is HEREBY ordered to refer to RICKY VAUGHN as

""THE SWEET ONE""

You must catcall whistle when you say it.

Sweets:

You keep lying when you ought to be #Truthing

You keep LOSING when you ought to not bet

Now what's Right is Right but you've not been Right yet

"
S.A. Shitlord Jan Lamprecht from #HistoryReviewed had a website called Ban Judaism that got #Shoah'd
"I explain to both #woke #Whites + #Normies that dedicated WNists are the commited #Vanguard &amp; we cannot expect or demand the #sheeple as #GLR called them, or #lemmings as Pierce called them, to stand up,risking it all to fight."
"Woops 6136831

That wasn't John.. That was Dr.Wyatt Kaldenberg the very devout #Odinist

John started the first WSU, sorry "
"Yeah we still have our #Intel ph. lines setup. I run one in FL.

You don't need to be a #Floridian to leave Intel tho. I want to know what's going on effecting #White People wherever they live.

813 631 3851"
"Hell yeah.

I've seen videos even of diff factions/sects of #orthodox #hasidic #jews brawling in the streets wl ea/other."
"I'm a WN1.0 dude so when I woke up the first org I worked as a street-level #propagandist for was NatAll/NatVan when Pierce was alive,before #ErichGliebe ruined everything &amp; embezzled me &amp; everbody else.

You had to order books,pamphlets, stickers,CDs,VHS tapes.

#ADV #AmericanDissidentVoices was on Cable #PublicAccess like Metzgers #RaceAndReason"
"It's #TRUE you're right. Esp the #Italians &amp; the #Irish

They had boundaries drawn where if a nigg crossed they were dead.

The #Chassidim in #Brooklyn do gang violence and roll deep,banging 24hrs a day 7 days a week

The #Jews pack straps busting niggs &amp; vatos who cross the wrong side of the tracks."
"LOL!  B'klyn

That's a good one. I've heard it also called Crooklyn.

Never before in history has the #Goyah been so educated on #Judaism

Thx #internet

It took #Spain centuries to #Expell the #muzzies &amp; the #jews that brought them in."
"I knew a guy on Stormfront who got caught working on the coast of #Mexico

He was detained,all personal effects expropriated, put on house arrest on his boast and told GTFO"
Thx
"You're exactly correct.

Having a little money&amp;property insulated them from #VIBRANT #DIVERSITY

Their only taste of #ENRICHMENT is their #Mestiza maid.

The upper middle class &amp; the very wealthy don't deal w/ #Nogs except nogs who are polished nogs w/ jobs.

Fortunately I'm in the station to have that #WhitePrivilage

But I dealt w/ enough mud ppl as youngster"
"Pro-feminism meme contradictory

Got my blood pressure up.

Now I'm angry.

Thanks for passing me off I don't appreciate that shit mf"
" 

Holler  she misses #Scotland gets lonely, has no family in #America except The Seditas.

She came here in the late 80s"
"#EverDayIsWhiteHistoryDay

For #Family #Folk &amp; #Nation"
"To #speakfreely Re. #Voting

The ONLY way voting will get us out of this mess is to #nullify our #corrupt #Empires every.single.citizen to run a total #boycott &amp; #DONTVOTE"
"Let's not just arm-up &amp; wait for the #SHTF

Most #wars in history were not ordered by #Elite utilizing the state #military

They were by pvt citizens fed up.

Money-class #Whites w/ boats &amp; planes should wage #war on the #shithole countries who accomplice w our #corrupt #ZOG govts 

Eventually we'll have to!

There's no other way possible.

#voting won't work"
"They've been controlling &amp; manipulating the weather for decades. #HurricaneIrma in #florida passed up #Miami

How convenient.

#Chabad #Lubavitch is down there"
"I'm hitting a whole other level of #Autism

Not having to wage-cuck &amp; your #boomer father bequeathing you some of his residential &amp; commercial real estate tends to cause the disease."
"My latest Semite-related legal problems

Badge of honor."
"#HailTheNewDawn

Greetings from #Shithole #FailedCity #Tampa #Florida #USA"
Good maymay keep up the good work
"It never ceases to amaze me how shameless &amp; arrogant mud ppl in our #homelands are.

If I traveled abroad,even to another #WhiteCountry I would be on muh best damn behavior.

There's #WhiteGuilt tripped ((( by #jews ))) #White ppl here who say ""let's let these ppl go ahead of us!""

I'm fluent in #Spanish

They laugh at us daily."
