WORD,★,TYPE,😠,💩,🐸,🤡,👩🏼,🐷,👳🏽,✊🏻,☝🏽,?
wagon burners,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
yellow bones,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
polack,4,NOUN,,,,,,,TRUE,,,FALSE
black dagoes,3,NOUN,,,,,,,TRUE,,,FALSE
rednecks,3,NOUN,FALSE,,,TRUE,,,,,,FALSE
goobers,4,NOUN,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
brainless,2,ADJ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
charver,3,NOUN,TRUE,,,,,,,,,FALSE
weezebag,1,NOUN,TRUE,,,,,,,,,FALSE
christokike,4,NOUN,,,,,,,,,TRUE,FALSE
yellow invader,4,NOUN,,,FALSE,,,,TRUE,TRUE,,FALSE
nignog,4,NOUN,,,,,,,TRUE,,,FALSE
cracka,4,NOUN,,,,,,,TRUE,,,FALSE
red bone,3,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
asshat,4,NOUN,,TRUE,FALSE,TRUE,,,,,,FALSE
fuckweasel,2,NOUN,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
shit kickers,2,NOUN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
rhineland bastard,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
blonde,0,ADJ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
rimming,1,VERB,,,,,,TRUE,,,,FALSE
sexslave,2,NOUN,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
chonky,2,NOUN,,,,,,,TRUE,,,FALSE
coon,4,NOUN,,,,,,,TRUE,,,FALSE
sand niggerette,4,NOUN,,,,,,,TRUE,,,FALSE
shitcan,2,VERB,,TRUE,TRUE,,,,,,,FALSE
doo-doo,1,NOUN,,TRUE,,,,,,,,FALSE
spicks,4,NOUN,,,,,,,TRUE,,,FALSE
gin jockeys,3,NOUN,,,,,,,TRUE,,,FALSE
niggera,4,NOUN,,,,,,,TRUE,,,FALSE
suntans,3,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
fagdick,4,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
pooping,2,VERB,,TRUE,,,,,,,,FALSE
anglos,1,NOUN,,,,,,,TRUE,,,FALSE
whiskydick,2,NOUN,,,,,,TRUE,,,,FALSE
fastfuck,2,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gross,1,ADJ,,TRUE,,,,,,,,FALSE
squaw,4,NOUN,,,,,,,TRUE,,,FALSE
chi chi bwoys,2,NOUN,,,,,TRUE,,,,,FALSE
rile,2,VERB,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tree jumper,2,NOUN,,,TRUE,,,TRUE,,,,FALSE
alboes,2,NOUN,,,,,,,TRUE,FALSE,FALSE,FALSE
banger,0,NOUN,TRUE,,,,,,,,,FALSE
black barbies,2,NOUN,,,,,,,TRUE,,,TRUE
cocky,3,ADJ,TRUE,,,,,,,,,FALSE
fuckfriend,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
fuckingbitch,4,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE
twinkies,4,NOUN,,,,,,,TRUE,,,TRUE
punjab,4,NOUN,,,,,,,TRUE,,,TRUE
bongs,4,NOUN,,,,,,,TRUE,,,TRUE
scallies,4,NOUN,TRUE,,,,,,,,,FALSE
mud sharks,4,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
jackeens,3,NOUN,,,,,,,TRUE,,,FALSE
nastyho,4,NOUN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
pocketpool,1,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
firing,0,VERB,TRUE,,,,,,,,,FALSE
orangie,3,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
pikey,3,NOUN,,,,,,,TRUE,,,FALSE
beach nigger,4,NOUN,,,,,,,TRUE,,,FALSE
jihadi,1,NOUN,,,,,,,,,TRUE,FALSE
african'ts,4,NOUN,,,,,,,TRUE,,,FALSE
limpdick,2,NOUN,,TRUE,,,,TRUE,,,,FALSE
octroon,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dingo fuckers,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
jiggabo,4,NOUN,,,,,,,TRUE,,,FALSE
stroke,1,VERB,,,,,,TRUE,,,,TRUE
jiz,1,NOUN,,,,,FALSE,TRUE,,,,FALSE
dicklicker,3,NOUN,,,,,TRUE,TRUE,,,,FALSE
fuckwit,4,NOUN,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
querulant,2,NOUN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
skankfuck,4,NOUN,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
buckrettes,2,NOUN,,,,,,,TRUE,,,FALSE
ghey,3,NOUN,,,,,TRUE,,,,,FALSE
skanky,4,ADJ,,,,,TRUE,TRUE,,,,FALSE
dickfucker,3,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
nitchees,3,NOUN,,,,,,,TRUE,,,FALSE
megadouche,2,NOUN,,,TRUE,,,,,,,FALSE
jewtube,2,NOUN,TRUE,,,,,,,,TRUE,FALSE
shaggin,2,VERB,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
cockhead,2,NOUN,,,,,,TRUE,,,,FALSE
americoon,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dixiedike,4,NOUN,,,,,TRUE,,,,,FALSE
cunnilingus,1,NOUN,,,,,,TRUE,,,,FALSE
jigger,4,NOUN,,,,,,,TRUE,,,FALSE
spergs,4,NOUN,,,,TRUE,,,,,,FALSE
peasant,1,NOUN,FALSE,,,TRUE,,,,,,FALSE
taboo,0,NOUN,TRUE,,,,,,,,,FALSE
urinate,0,VERB,,TRUE,,,,,,,,FALSE
niggerdicks,4,NOUN,,TRUE,,,,,TRUE,,,FALSE
unclefucker,2,NOUN,,,,,,TRUE,,,,FALSE
fuckinright,2,ADJ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
moky,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
wegro,4,NOUN,,,,,,,TRUE,,,FALSE
abuser,1,NOUN,TRUE,,,,,TRUE,,,,FALSE
jocky,3,NOUN,,,,,,,TRUE,,,FALSE
tard,4,NOUN,,,,TRUE,,,,,,FALSE
teapots,3,NOUN,,,,,,,TRUE,,,TRUE
brea5t,1,NOUN,,,,,,TRUE,,,,FALSE
haji,3,NOUN,,,,,,,TRUE,,,FALSE
cocksmith,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
septic,3,NOUN,,,,,,,TRUE,,,TRUE
sexhound,2,NOUN,,,TRUE,,,TRUE,,,,FALSE
lezzo,2,NOUN,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
